Age,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Injury,Days,Games missed,Position_DF,Position_FW,Position_MF,PreferredFoot_ Both,PreferredFoot_ Left,PreferredFoot_ Right
20,2,14,11,1066,11.8,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.9,5,40,0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,0,0.0,0.0,1,0,0,0,1,0
21,4,24,23,2087,23.2,1,0,1,1,0,0,3,0,1.3,1.3,0.1,1.4,25,107,3,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.06,0.06,0.06,0,0.0,0.0,1,0,0,0,1,0
22,8,23,22,1996,22.2,2,0,2,2,0,0,4,1,1.3,1.3,0.1,1.4,18,80,8,0.09,0.0,0.09,0.09,0.09,0.06,0.0,0.06,0.06,0.06,0,0.0,0.0,1,0,0,0,1,0
23,3,36,36,3108,17.25,5,0,5,5,0,0,8,1,4.303444976076555,4.272248803827751,1.9692822966507177,6.240478468899521,12,110,9,0.075,0.0,0.075,0.075,0.075,0.07404784688995214,0.0499186602870813,0.12896172248803825,0.07337320574162676,0.12830622009569376,0,0.0,0.0,1,0,0,0,1,0
23,5,36,36,3108,17.25,5,0,5,5,0,0,8,1,4.303444976076555,4.272248803827751,1.9692822966507177,6.240478468899521,12,110,9,0.075,0.0,0.075,0.075,0.075,0.07404784688995214,0.0499186602870813,0.12896172248803825,0.07337320574162676,0.12830622009569376,0,0.0,0.0,1,0,0,0,1,0
24,2,38,38,3409,37.9,3,0,3,3,0,0,5,0,5.1,5.1,0.3,5.3,18,153,16,0.08,0.0,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14,0,0.0,0.0,1,0,0,0,1,0
25,1,11,9,836,9.3,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,4,33,4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0,0.0,0.0,1,0,0,0,1,0
19,2,15,10,953,5.25,10,3,13,10,0,1,0,0,5.081318681318681,4.680586080586081,2.7904761904761908,7.4673992673992675,3,1,7,1.125,0.15,1.28,1.125,1.28,0.3036141636141636,0.18087301587301585,0.4845054945054945,0.29435286935286936,0.4753052503052503,0,0.0,0.0,0,1,0,0,0,1
19,5,15,10,953,5.25,10,3,13,10,0,1,0,0,5.081318681318681,4.680586080586081,2.7904761904761908,7.4673992673992675,3,1,7,1.125,0.15,1.28,1.125,1.28,0.3036141636141636,0.18087301587301585,0.4845054945054945,0.29435286935286936,0.4753052503052503,0,0.0,0.0,0,1,0,0,0,1
20,1,30,9,1142,6.35,5,0,5,5,0,0,2,1,6.1,6.1,1.2,7.4,33,26,88,0.405,0.0,0.405,0.405,0.405,0.495,0.095,0.5900000000000001,0.495,0.5900000000000001,0,0.0,0.0,0,1,0,0,0,1
